day,open,high,low,close,volume,datetime
2025-10-09 10:25:00,392.52,393.49,391.08,392.77,103302,2025-10-09 10:25:00
2025-10-09 10:30:00,392.62,397.0,392.61,395.55,94725,2025-10-09 10:30:00
2025-10-09 10:35:00,395.99,398.73,392.39,394.0,96910,2025-10-09 10:35:00
2025-10-09 10:40:00,393.63,394.83,391.66,393.21,69407,2025-10-09 10:40:00
2025-10-09 10:45:00,392.5,397.9,392.5,396.98,66907,2025-10-09 10:45:00
2025-10-09 10:50:00,396.98,402.55,395.0,402.5,127043,2025-10-09 10:50:00
2025-10-09 10:55:00,402.5,402.54,399.1,400.93,99543,2025-10-09 10:55:00
2025-10-09 11:00:00,400.84,402.88,399.97,402.88,78474,2025-10-09 11:00:00
2025-10-09 11:05:00,402.95,405.77,399.99,401.5,92593,2025-10-09 11:05:00
2025-10-09 11:10:00,401.5,402.94,399.09,400.33,46500,2025-10-09 11:10:00
2025-10-09 11:15:00,400.32,401.6,399.54,401.2,53006,2025-10-09 11:15:00
2025-10-09 11:20:00,401.2,402.74,400.04,402.62,56838,2025-10-09 11:20:00
2025-10-09 11:25:00,402.6,402.6,399.39,399.56,34834,2025-10-09 11:25:00
2025-10-09 11:30:00,399.56,401.14,398.65,400.63,31173,2025-10-09 11:30:00
2025-10-09 13:05:00,401.1,402.0,397.66,397.76,77894,2025-10-09 13:05:00
2025-10-09 13:10:00,397.85,401.88,397.78,400.08,55713,2025-10-09 13:10:00
2025-10-09 13:15:00,400.1,400.7,398.0,399.99,43439,2025-10-09 13:15:00
2025-10-09 13:20:00,400.0,400.8,398.0,398.0,52570,2025-10-09 13:20:00
2025-10-09 13:25:00,397.88,400.65,397.45,398.87,48256,2025-10-09 13:25:00
2025-10-09 13:30:00,398.87,400.7,398.82,400.18,41662,2025-10-09 13:30:00
2025-10-09 13:35:00,400.05,401.62,399.03,400.34,57558,2025-10-09 13:35:00
2025-10-09 13:40:00,400.34,402.99,399.5,401.16,61602,2025-10-09 13:40:00
2025-10-09 13:45:00,401.0,402.5,400.18,401.04,52599,2025-10-09 13:45:00
2025-10-09 13:50:00,401.04,401.04,399.0,399.33,55593,2025-10-09 13:50:00
2025-10-09 13:55:00,399.33,404.97,399.28,404.3,92946,2025-10-09 13:55:00
2025-10-09 14:00:00,404.3,404.9,403.01,404.75,68056,2025-10-09 14:00:00
