2026-01-26 06:59:23 | INFO     | data_provider.base   | 尝试使用 [AkshareFetcher] 获取 hk00700...
2026-01-26 06:59:23 | INFO     | data_provider.base   | [AkshareFetcher] 获取 hk00700 数据: 2025-11-27 ~ 2026-01-26
2026-01-26 06:59:23 | DEBUG    | data_provider.akshare_fetcher | 设置 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0...
2026-01-26 06:59:23 | DEBUG    | data_provider.base   | 随机休眠 4.61 秒...
2026-01-26 06:59:23 | INFO     | data_provider.efinance_fetcher | [API调用] ef.stock.get_quote_history(stock_codes=AAPL, beg=20251127, end=20260126, klt=101, fqt=1)
2026-01-26 06:59:24 | INFO     | data_provider.efinance_fetcher | [API返回] ef.stock.get_quote_history 成功: 返回 38 行数据, 耗时 0.20s
2026-01-26 06:59:24 | INFO     | data_provider.efinance_fetcher | [API返回] 列名: ['股票名称', '股票代码', '日期', '开盘', '收盘', '最高', '最低', '成交量', '成交额', '振幅', '涨跌幅', '涨跌额', '换手率']
2026-01-26 06:59:24 | INFO     | data_provider.efinance_fetcher | [API返回] 日期范围: 2025-11-28 ~ 2026-01-23
2026-01-26 06:59:24 | DEBUG    | data_provider.efinance_fetcher | [API返回] 最新3条数据:
   股票名称  股票代码          日期      开盘      收盘      最高      最低       成交量           成交额    振幅   涨跌幅   涨跌额   换手率
35   苹果  AAPL  2026-01-21  248.70  247.65  251.56  245.18  54641725  1.353558e+10  2.59  0.39  0.95  0.37
36   苹果  AAPL  2026-01-22  249.20  248.35  251.00  248.15  39708340  9.897893e+09  1.15  0.28  0.70  0.27
37   苹果  AAPL  2026-01-23  247.32  248.04  249.41  244.68  41688982  1.032052e+10  1.90 -0.12 -0.31  0.28
2026-01-26 06:59:24 | INFO     | data_provider.base   | [EfinanceFetcher] AAPL 获取成功，共 38 条数据
2026-01-26 06:59:24 | INFO     | data_provider.base   | [EfinanceFetcher] 成功获取 AAPL
2026-01-26 06:59:24 | INFO     | src.storage          | 保存 AAPL 数据成功，新增 38 条
2026-01-26 06:59:24 | INFO     | src.core.pipeline    | [AAPL] 数据保存成功（来源: EfinanceFetcher，新增 38 条）
2026-01-26 06:59:24 | DEBUG    | data_provider.akshare_fetcher | [API跳过] AAPL 是美股，Akshare 不支持美股实时行情
2026-01-26 06:59:24 | DEBUG    | data_provider.akshare_fetcher | [API跳过] AAPL 是美股，Akshare 不支持美股实时行情
2026-01-26 06:59:24 | INFO     | data_provider.efinance_fetcher | [缓存未命中] 触发全量刷新 实时行情(efinance)
2026-01-26 06:59:24 | DEBUG    | data_provider.efinance_fetcher | 设置 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0...
2026-01-26 06:59:24 | DEBUG    | data_provider.efinance_fetcher | 补充休眠 1.12 秒
2026-01-26 06:59:25 | DEBUG    | data_provider.base   | 随机休眠 1.68 秒...
2026-01-26 06:59:26 | INFO     | data_provider.akshare_fetcher | [API调用] ak.stock_zh_a_hist(symbol=6088027, period=daily, start_date=20251127, end_date=20260126, adjust=qfq)
2026-01-26 06:59:27 | INFO     | data_provider.efinance_fetcher | [API调用] ef.stock.get_realtime_quotes() 获取实时行情...
2026-01-26 06:59:27 | WARNING  | data_provider.akshare_fetcher | [API返回] ak.stock_zh_a_hist 返回空数据, 耗时 0.28s
2026-01-26 06:59:27 | ERROR    | data_provider.base   | [AkshareFetcher] 获取 6088027 失败: [AkshareFetcher] 未获取到 6088027 的数据
2026-01-26 06:59:27 | WARNING  | data_provider.base   | [AkshareFetcher] 失败: [AkshareFetcher] 6088027: [AkshareFetcher] 未获取到 6088027 的数据
2026-01-26 06:59:27 | INFO     | data_provider.base   | 尝试使用 [TushareFetcher] 获取 6088027...
2026-01-26 06:59:27 | INFO     | data_provider.base   | [TushareFetcher] 获取 6088027 数据: 2025-11-27 ~ 2026-01-26
2026-01-26 06:59:27 | ERROR    | data_provider.base   | [TushareFetcher] 获取 6088027 失败: Tushare API 未初始化，请检查 Token 配置
2026-01-26 06:59:27 | WARNING  | data_provider.base   | [TushareFetcher] 失败: [TushareFetcher] 6088027: Tushare API 未初始化，请检查 Token 配置
2026-01-26 06:59:27 | INFO     | data_provider.base   | 尝试使用 [BaostockFetcher] 获取 6088027...
2026-01-26 06:59:27 | INFO     | data_provider.base   | [BaostockFetcher] 获取 6088027 数据: 2025-11-27 ~ 2026-01-26
2026-01-26 06:59:27 | WARNING  | data_provider.baostock_fetcher | 无法确定股票 6088027 的市场，默认使用深市
2026-01-26 06:59:27 | DEBUG    | data_provider.baostock_fetcher | 调用 Baostock query_history_k_data_plus(sz.6088027, 2025-11-27, 2026-01-26)
2026-01-26 06:59:28 | INFO     | data_provider.akshare_fetcher | [API调用] ak.stock_hk_hist(symbol=00700, period=daily, start_date=20251127, end_date=20260126, adjust=qfq)
2026-01-26 06:59:28 | DEBUG    | data_provider.baostock_fetcher | Baostock 登录成功
2026-01-26 06:59:28 | DEBUG    | data_provider.baostock_fetcher | Baostock 登出成功
2026-01-26 06:59:28 | ERROR    | data_provider.base   | [BaostockFetcher] 获取 6088027 失败: Baostock 查询失败: 股票代码应为9位，请检查。格式示例：sh.600000。
2026-01-26 06:59:28 | WARNING  | data_provider.base   | [BaostockFetcher] 失败: [BaostockFetcher] 6088027: Baostock 查询失败: 股票代码应为9位，请检查。格式示例：sh.600000。
2026-01-26 06:59:28 | INFO     | data_provider.base   | 尝试使用 [YfinanceFetcher] 获取 6088027...
2026-01-26 06:59:28 | INFO     | data_provider.base   | [YfinanceFetcher] 获取 6088027 数据: 2025-11-27 ~ 2026-01-26
2026-01-26 06:59:28 | INFO     | data_provider.akshare_fetcher | [API返回] ak.stock_hk_hist 成功: 返回 40 行数据, 耗时 0.63s
2026-01-26 06:59:28 | INFO     | data_provider.akshare_fetcher | [API返回] 列名: ['日期', '开盘', '收盘', '最高', '最低', '成交量', '成交额', '振幅', '涨跌幅', '涨跌额', '换手率']
2026-01-26 06:59:28 | INFO     | data_provider.akshare_fetcher | [API返回] 日期范围: 2025-11-27 ~ 2026-01-26
2026-01-26 06:59:28 | DEBUG    | data_provider.akshare_fetcher | [API返回] 最新3条数据:
            日期     开盘     收盘     最高     最低       成交量           成交额    振幅   涨跌幅  涨跌额   换手率
37  2026-01-22  604.5  597.5  605.5  596.0  27168713  1.627846e+10  1.58 -0.83 -5.0  0.30
38  2026-01-23  597.5  595.0  602.0  595.0  19177660  1.144568e+10  1.17 -0.42 -2.5  0.21
39  2026-01-26  595.0  598.5  605.0  594.0  13204807  7.898440e+09  1.85  0.59  3.5  0.14
2026-01-26 06:59:28 | INFO     | data_provider.base   | [AkshareFetcher] hk00700 获取成功，共 40 条数据
2026-01-26 06:59:28 | INFO     | data_provider.base   | [AkshareFetcher] 成功获取 hk00700
2026-01-26 06:59:29 | INFO     | src.storage          | 保存 hk00700 数据成功，新增 40 条
2026-01-26 06:59:29 | INFO     | src.core.pipeline    | [hk00700] 数据保存成功（来源: AkshareFetcher，新增 40 条）
2026-01-26 06:59:29 | DEBUG    | data_provider.akshare_fetcher | 设置 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWeb...
2026-01-26 06:59:29 | DEBUG    | data_provider.akshare_fetcher | 补充休眠 1.26 秒
2026-01-26 06:59:29 | WARNING  | data_provider.yfinance_fetcher | 无法确定股票 6088027 的市场，默认使用深市
2026-01-26 06:59:29 | DEBUG    | data_provider.yfinance_fetcher | 调用 yfinance.download(6088027.SZ, 2025-11-27, 2026-01-26)
2026-01-26 06:59:29 | DEBUG    | yfinance             | Entering download()
2026-01-26 06:59:29 | DEBUG    | yfinance             | Disabling multithreading because DEBUG logging enabled
